time,temperature,humidity
2025-01-25 15:48:49,31.60,45.90
2025-01-25 15:48:52,31.60,45.80
2025-01-25 15:48:56,31.60,45.70
2025-01-25 15:48:59,31.60,45.70
2025-01-25 15:49:02,31.60,45.70
2025-01-25 15:49:06,31.60,45.70
2025-01-25 15:49:09,31.60,45.80
2025-01-25 15:49:12,31.60,45.70
2025-01-25 15:49:15,31.60,45.70
2025-01-25 15:49:19,31.60,45.80
2025-01-25 15:49:22,31.60,46.00
2025-01-25 15:49:25,31.60,46.30
2025-01-25 15:49:29,31.60,46.60
2025-01-25 15:49:32,31.60,46.80
2025-01-25 15:49:35,31.60,46.80
2025-01-25 15:49:38,31.60,46.70
2025-01-25 15:49:42,31.60,46.60
2025-01-25 15:49:45,31.60,46.40
2025-01-25 15:49:48,31.60,46.30
2025-01-25 15:49:51,31.60,46.10
2025-01-25 15:49:55,31.60,46.00
2025-01-25 15:49:58,31.60,45.90
2025-01-25 15:50:01,31.60,45.90
2025-01-25 15:50:04,31.60,45.80
2025-01-25 15:50:08,31.60,45.80
2025-01-25 15:50:11,31.60,45.70
2025-01-25 15:50:14,31.60,45.70
2025-01-25 15:50:18,31.60,45.90
2025-01-25 15:50:21,31.60,46.10
2025-01-25 15:50:24,31.60,46.10
2025-01-25 15:50:28,31.60,46.20
2025-01-25 15:50:31,31.60,46.30
2025-01-25 15:50:34,31.60,46.50
2025-01-25 15:50:37,31.60,47.30
2025-01-25 15:50:41,31.60,48.80
2025-01-25 15:50:44,31.60,50.20
2025-01-25 15:50:47,31.60,49.60
2025-01-25 15:50:50,31.60,49.70
2025-01-25 15:50:54,31.60,50.50
2025-01-25 15:50:57,31.60,55.50
2025-01-25 15:51:00,31.60,56.60
2025-01-25 15:51:04,32.00,56.00
2025-01-25 15:51:07,32.00,54.90
2025-01-25 15:51:10,32.00,53.60
2025-01-25 15:51:13,32.10,52.60
2025-01-25 15:51:17,32.10,51.70
2025-01-25 15:51:20,32.10,50.90
2025-01-25 15:51:23,32.20,50.30
2025-01-25 15:51:27,32.20,49.60
2025-01-25 15:51:30,32.20,49.10
2025-01-25 15:51:33,32.30,48.70
2025-01-25 15:51:37,32.30,48.40
2025-01-25 15:51:40,32.30,48.10
2025-01-25 15:51:43,32.30,47.90
2025-01-25 15:51:46,32.30,47.70
2025-01-25 15:51:50,32.30,47.60
2025-01-25 15:51:53,32.30,47.40
2025-01-25 15:51:56,32.30,47.30
2025-01-25 15:52:00,32.30,47.20
2025-01-25 15:52:03,32.30,47.00
2025-01-25 15:52:06,32.30,47.00
2025-01-25 15:52:10,32.30,46.90
2025-01-25 15:52:13,32.30,46.70
2025-01-25 15:52:17,32.30,47.00
2025-01-25 15:52:20,32.30,46.90
2025-01-25 15:52:23,32.30,46.70
2025-01-25 15:52:26,32.30,46.80
2025-01-25 15:52:30,32.30,47.00
2025-01-25 15:52:33,32.30,47.10
2025-01-25 15:52:36,32.30,47.40
2025-01-25 15:52:40,32.30,47.30
2025-01-25 15:52:43,32.30,47.60
2025-01-25 15:52:46,32.20,47.90
2025-01-25 15:52:49,32.20,47.90
2025-01-25 15:52:53,32.20,47.60
2025-01-25 15:52:56,32.20,47.30
2025-01-25 15:52:59,32.10,47.20
2025-01-25 15:53:03,32.10,47.10
2025-01-25 15:53:06,32.10,47.10
2025-01-25 15:53:09,32.10,47.10
2025-01-25 15:53:12,32.00,47.10
2025-01-25 15:53:16,32.00,47.10
2025-01-25 15:53:19,32.00,47.10
2025-01-25 15:53:22,32.00,47.30
2025-01-25 15:53:26,32.00,47.10
2025-01-25 15:53:29,32.00,47.00
2025-01-25 15:53:32,32.00,47.20
2025-01-25 15:53:35,31.60,47.20
2025-01-25 15:53:39,31.60,47.10
2025-01-25 15:53:42,31.60,47.00
2025-01-25 15:53:46,31.60,47.10
2025-01-25 15:53:49,31.60,47.30
2025-01-25 15:53:53,31.60,47.40
2025-01-25 15:53:56,31.60,47.20
2025-01-25 15:53:59,31.60,47.10
2025-01-25 15:54:02,31.60,47.20
2025-01-25 15:54:06,31.60,47.10
2025-01-25 15:54:09,31.60,47.20
2025-01-25 15:54:12,31.60,47.40
2025-01-25 15:54:16,31.60,47.60
2025-01-25 15:54:19,31.60,47.70
2025-01-25 15:54:22,31.60,47.50
2025-01-25 15:54:26,31.60,47.40
2025-01-25 15:54:29,31.60,47.40
2025-01-25 15:54:32,31.60,47.50
2025-01-25 15:54:35,31.60,47.50
2025-01-25 15:54:39,31.60,47.60
2025-01-25 15:54:42,31.60,47.50
2025-01-25 15:54:45,31.50,47.70
2025-01-25 15:54:49,31.50,47.70
2025-01-25 15:54:52,31.50,47.70
2025-01-25 15:54:55,31.50,47.70
2025-01-25 15:54:58,31.50,48.00
2025-01-25 15:55:02,31.50,48.00
2025-01-25 15:55:05,31.50,47.90
2025-01-25 15:55:08,31.50,47.80
2025-01-25 15:55:11,31.50,47.60
2025-01-25 15:55:15,31.50,47.50
2025-01-25 15:55:18,31.50,47.40
2025-01-25 15:55:21,31.50,47.40
2025-01-25 15:55:25,31.40,47.40
2025-01-25 15:55:28,31.40,47.50
2025-01-25 15:55:31,31.40,47.60
2025-01-25 15:55:34,31.30,47.60
2025-01-25 15:55:38,31.20,47.70
2025-01-25 15:55:41,31.20,47.70
2025-01-25 15:55:44,31.20,47.70
2025-01-25 15:55:48,31.20,47.70
2025-01-25 15:55:51,31.20,47.80
2025-01-25 15:55:54,31.20,47.90
2025-01-25 15:55:57,31.20,48.00
2025-01-25 15:56:01,31.20,48.20
2025-01-25 15:56:04,31.20,48.20
2025-01-25 15:56:07,31.20,48.20
2025-01-25 15:56:10,31.20,48.30
2025-01-25 15:56:14,31.20,48.60
2025-01-25 15:56:17,31.20,48.60
2025-01-25 15:56:20,31.20,48.60
2025-01-25 15:56:24,31.20,48.90
2025-01-25 15:56:27,31.20,49.30
2025-01-25 15:56:30,31.20,49.50
2025-01-25 15:56:33,31.20,49.40
2025-01-25 15:56:37,31.20,49.20
2025-01-25 15:56:40,31.20,49.10
2025-01-25 15:56:43,31.20,49.00
2025-01-25 15:56:47,31.20,48.90
2025-01-25 15:56:50,31.20,49.30
2025-01-25 15:56:53,31.20,49.20
2025-01-25 15:56:56,31.20,49.10
2025-01-25 15:57:00,31.20,49.20
2025-01-25 15:57:03,31.20,49.40
2025-01-25 15:57:06,31.20,49.60
2025-01-25 15:57:10,31.20,49.60
2025-01-25 15:57:13,31.20,49.60
2025-01-25 15:57:16,31.20,49.60
2025-01-25 15:57:19,31.20,49.50
2025-01-25 15:57:23,31.20,49.40
2025-01-25 15:57:26,31.20,49.40
2025-01-25 15:57:29,31.20,49.50
2025-01-25 15:57:32,31.20,49.50
2025-01-25 15:57:36,31.20,49.50
2025-01-25 15:57:39,31.20,49.50
2025-01-25 15:57:42,31.20,49.40
2025-01-25 15:57:46,31.20,49.30
2025-01-25 15:57:49,31.20,49.30
2025-01-25 15:57:52,31.20,49.20
2025-01-25 15:57:55,31.20,49.30
2025-01-25 15:57:59,31.20,49.50
2025-01-25 15:58:02,31.20,49.70
2025-01-25 15:58:05,31.20,49.80
2025-01-25 15:58:08,31.20,49.90
2025-01-25 15:58:12,31.20,50.10
2025-01-25 15:58:15,31.20,50.20
2025-01-25 15:58:18,31.20,50.10
2025-01-25 15:58:21,31.20,50.10
2025-01-25 15:58:25,31.20,50.00
2025-01-25 15:58:28,31.20,49.90
2025-01-25 15:58:31,31.20,49.80
2025-01-25 15:58:35,31.20,49.70
2025-01-25 15:58:38,31.20,49.60
2025-01-25 15:58:41,31.20,49.60
2025-01-25 15:58:44,31.20,49.80
2025-01-25 15:58:48,31.20,50.20
2025-01-25 15:58:51,31.20,50.20
2025-01-25 15:58:54,31.20,50.20
2025-01-25 15:58:57,31.20,50.20
2025-01-25 15:59:01,31.20,50.10
2025-01-25 15:59:04,31.20,50.20
2025-01-25 15:59:07,31.20,50.20
2025-01-25 15:59:11,31.20,50.10
2025-01-25 15:59:14,31.20,50.00
2025-01-25 15:59:17,31.20,49.90
2025-01-25 15:59:20,31.20,49.90
2025-01-25 15:59:24,31.20,50.00
2025-01-25 15:59:27,31.20,50.00
2025-01-25 15:59:30,31.20,50.00
2025-01-25 15:59:33,31.20,50.00
2025-01-25 15:59:37,31.20,50.00
2025-01-25 15:59:40,31.20,50.10
2025-01-25 15:59:43,31.20,50.00
2025-01-25 15:59:47,31.20,50.10
2025-01-25 15:59:50,31.20,50.50
2025-01-25 15:59:53,31.20,51.00
2025-01-25 15:59:56,31.20,50.90
2025-01-25 16:00:00,31.20,50.70
2025-01-25 16:00:03,31.20,50.60
2025-01-25 16:00:06,31.20,50.50
2025-01-25 16:00:09,31.20,50.40
2025-01-25 16:00:13,31.20,50.30
2025-01-25 16:00:16,31.20,50.20
2025-01-25 16:00:19,31.20,50.20
2025-01-25 16:00:23,31.20,50.30
2025-01-25 16:00:26,31.20,50.70
2025-01-25 16:00:29,31.20,50.70
2025-01-25 16:00:32,31.20,50.70
2025-01-25 16:00:36,31.20,50.80
2025-01-25 16:00:39,31.20,50.80
2025-01-25 16:00:42,31.20,50.80
2025-01-25 16:00:45,31.20,50.80
2025-01-25 16:00:49,31.20,50.80
2025-01-25 16:00:52,31.20,50.80
2025-01-25 16:00:55,31.20,50.80
2025-01-25 16:00:59,31.20,50.70
2025-01-25 16:01:02,31.20,51.00
2025-01-25 16:01:05,31.20,51.00
